Note 207: MIDI 61.186820576352424 (Start: 8.86s, Duration: 0.03s)
Note 208: MIDI nan (Start: 8.90s, Duration: 0.03s)
Note 209: MIDI nan (Start: 8.93s, Duration: 0.03s)
Note 210: MIDI nan (Start: 8.96s, Duration: 0.03s)
Note 211: MIDI nan (Start: 8.99s, Duration: 0.03s)
Note 212: MIDI nan (Start: 9.02s, Duration: 0.03s)
Note 213: MIDI nan (Start: 9.06s, Duration: 0.03s)
Note 214: MIDI nan (Start: 9.09s, Duration: 0.03s)
Note 215: MIDI nan (Start: 9.12s, Duration: 0.03s)
Note 216: MIDI nan (Start: 9.15s, Duration: 0.03s)
Note 217: MIDI nan (Start: 9.18s, Duration: 0.03s)
Note 218: MIDI nan (Start: 9.22s, Duration: 0.03s)
Note 219: MIDI 60.58682057635244 (Start: 9.25s, Duration: 0.03s)
Note 220: MIDI 59.886820576352434 (Start: 9.28s, Duration: 0.06s)
Note 221: MIDI 58.88682057635243 (Start: 9.34s, Duration: 0.03s)
Note 222: MIDI 58.98682057635243 (Start: 9.38s, Duration: 0.03s)
Note 223: MIDI 59.08682057635242 (Start: 9.41s, Duration: 0.03s)
Note 224: MIDI 58.48682057635243 (Start: 9.44s, Duration: 0.03s)
Note 225: MIDI 56.48682057635243 (Start: 9.47s, Duration: 0.06s)
Note 226: MIDI 58.68682057635243 (Start: 9.54s, Duration: 0.03s)
Note 227: MIDI 58.88682057635243 (Start: 9.57s, Duration: 0.03s)
Note 228: MIDI 58.98682057635243 (Start: 9.60s, Duration: 0.13s)
Note 229: MIDI 59.08682057635242 (Start: 9.73s, Duration: 0.03s)
Note 230: MIDI 60.28682057635243 (Start: 9.76s, Duration: 0.03s)
Note 231: MIDI 60.786820576352426 (Start: 9.79s, Duration: 0.03s)
Note 232: MIDI 61.08682057635243 (Start: 9.82s, Duration: 0.06s)
Note 233: MIDI 60.986820576352436 (Start: 9.89s, Duration: 0.03s)
Note 234: MIDI 60.88682057635244 (Start: 9.92s, Duration: 0.03s)
Note 235: MIDI nan (Start: 9.95s, Duration: 0.03s)
Note 236: MIDI nan (Start: 9.98s, Duration: 0.03s)
Note 237: MIDI nan (Start: 10.02s, Duration: 0.03s)
Note 238: MIDI nan (Start: 10.05s, Duration: 0.03s)
Note 239: MIDI 43.78682057635243 (Start: 10.08s, Duration: 0.06s)
Note 240: MIDI 43.88682057635243 (Start: 10.14s, Duration: 0.06s)
Note 241: MIDI 43.98682057635243 (Start: 10.21s, Duration: 0.03s)
Note 242: MIDI 44.08682057635242 (Start: 10.24s, Duration: 0.03s)
Note 243: MIDI 43.98682057635243 (Start: 10.27s, Duration: 0.03s)
Note 244: MIDI 44.08682057635242 (Start: 10.30s, Duration: 0.06s)
Note 245: MIDI 44.18682057635243 (Start: 10.37s, Duration: 0.03s)
Note 246: MIDI 44.286820576352426 (Start: 10.40s, Duration: 0.03s)
Note 247: MIDI nan (Start: 10.43s, Duration: 0.03s)
Note 248: MIDI nan (Start: 10.46s, Duration: 0.03s)
Note 249: MIDI nan (Start: 10.50s, Duration: 0.03s)
Note 250: MIDI nan (Start: 10.53s, Duration: 0.03s)
Note 251: MIDI nan (Start: 10.56s, Duration: 0.03s)
Note 252: MIDI 62.78682057635244 (Start: 10.59s, Duration: 0.06s)
Note 253: MIDI 59.98682057635243 (Start: 10.66s, Duration: 0.03s)
Note 254: MIDI 60.786820576352426 (Start: 10.69s, Duration: 0.03s)
Note 255: MIDI 61.08682057635243 (Start: 10.72s, Duration: 0.03s)
Note 256: MIDI 60.88682057635244 (Start: 10.75s, Duration: 0.03s)
Note 257: MIDI 60.38682057635243 (Start: 10.78s, Duration: 0.03s)
Note 258: MIDI 59.48682057635243 (Start: 10.82s, Duration: 0.03s)
Note 259: MIDI 58.88682057635243 (Start: 10.85s, Duration: 0.03s)
Note 260: MIDI 58.78682057635243 (Start: 10.88s, Duration: 0.03s)
Note 261: MIDI 59.08682057635242 (Start: 10.91s, Duration: 0.03s)
Note 262: MIDI 59.686820576352424 (Start: 10.94s, Duration: 0.03s)
Note 263: MIDI 58.98682057635243 (Start: 10.98s, Duration: 0.03s)
Note 264: MIDI 58.88682057635243 (Start: 11.01s, Duration: 0.06s)
Note 265: MIDI 59.286820576352426 (Start: 11.07s, Duration: 0.10s)
Note 266: MIDI 59.386820576352434 (Start: 11.17s, Duration: 0.03s)
Note 267: MIDI 59.48682057635243 (Start: 11.20s, Duration: 0.03s)
Note 268: MIDI 59.58682057635243 (Start: 11.23s, Duration: 0.03s)
Note 269: MIDI 60.58682057635244 (Start: 11.26s, Duration: 0.06s)
Note 270: MIDI 60.88682057635244 (Start: 11.33s, Duration: 0.03s)
Note 271: MIDI 60.986820576352436 (Start: 11.36s, Duration: 0.03s)
Note 272: MIDI 60.88682057635244 (Start: 11.39s, Duration: 0.03s)
Note 273: MIDI 60.68682057635243 (Start: 11.42s, Duration: 0.03s)
Note 274: MIDI 60.58682057635244 (Start: 11.46s, Duration: 0.06s)
Note 275: MIDI 61.186820576352424 (Start: 11.52s, Duration: 0.03s)
Note 276: MIDI 60.28682057635243 (Start: 11.55s, Duration: 0.03s)
Note 277: MIDI 59.686820576352424 (Start: 11.58s, Duration: 0.03s)
Note 278: MIDI 59.08682057635242 (Start: 11.62s, Duration: 0.06s)
Note 279: MIDI 58.88682057635243 (Start: 11.68s, Duration: 0.06s)
Note 280: MIDI 58.98682057635243 (Start: 11.74s, Duration: 0.03s)
Note 281: MIDI 58.88682057635243 (Start: 11.78s, Duration: 0.03s)
Note 282: MIDI 58.286820576352426 (Start: 11.81s, Duration: 0.03s)
Note 283: MIDI 58.08682057635243 (Start: 11.84s, Duration: 0.03s)
